nameCd,group,growthForm,size,part_Name1,part_Text1,part_Name2,part_Text2,part_Name3,part_Text3,part_Name4,part_Text4,part_Name5,part_Text5,part_Name6,part_Text6,part_Name7,part_Text7,part_Name8,part_Text8,part_Name9,part_Text9,part_Name10,part_Text10,simSp_comments,simSp_nameCd1,simSp_nameCd2,simSp_nameCd3,simSp_nameCd4,simSp_nameCd5,simSp_nameCd6,simSp_linkUri1,simSp_linkText1,simSp_linkUri2,simSp_linkText2,flowering,habitatEcology,nativity,notes_comments,notes_linkUri1,notes_linkText1,notes_linkUri2,notes_linkText2,notes_linkUri3,notes_linkText3,etymology_comments,etymology_linkUri1,etymology_linkText1,etymology_linkUri2,etymology_linkText2,etymology_linkUri3,etymology_linkText3,furtherInfo_comments,furtherInfo_linkUri1,furtherInfo_linkText1,furtherInfo_linkUri2,furtherInfo_linkText2,furtherInfo_linkUri3,furtherInfo_linkText3,furtherInfo_linkUri4,furtherInfo_linkText4,furtherInfo_linkUri5,furtherInfo_linkText5,furtherInfo_linkUri6,furtherInfo_linkText6,furtherInfo_linkUri7,furtherInfo_linkText7,furtherInfo_linkUri8,furtherInfo_linkText8,furtherInfo_linkUri9,furtherInfo_linkText9,furtherInfo_linkUri10,furtherInfo_linkText10,references_citation1,references_citation2,references_citation3,references_citation4,references_citation5,references_citation6,references_citation7,references_citation8,references_citation9,references_citation10,references_linkUri1,references_linkText1,references_linkUri2,references_linkText2,references_linkUri3,references_linkText3,references_linkUri4,references_linkText4,references_linkUri5,references_linkText5,references_linkUri6,references_linkText6,references_linkUri7,references_linkText7,references_linkUri8,references_linkText8,references_linkUri9,references_linkText9,references_linkUri10,references_linkText10,ilBn,ilCk,ilDk,ilDp,ilGd,ilKd,ilKk,ilKn,ilLk,ilMh,ilWl,inJs,inLk,inLp,inNt,inPt,inSj,inSk,miBr,wiKs,wiMw,wiRc,wiWk,wiWw
SACA4,PLANT,DUMMYDATA,"Small shrub, 0.5 - 3 m tall.",Twigs,densely white- to gray-woolly.,Leaves,"alternate, with 5 - 8 mm long, hairy leafstalks; dull green above, densely white-woolly beneath, 5 - 10 cm long, 1 - 2.5 cm wide, narrowly elliptic to narrowly egg-shaped, base tapering, tip pointed; margins down-curved (revolute), nearly entire, glandular; impressed veins above, yellowish midrib beneath. Occasionally, leaves may become less hairy later in the year; the hairs tending to crowd along the veins beneath.",Flowers,"either male or female, borne on separate trees (dioecious); in cylindrical catkins on short, leafy stalks; female catkins to 2 - 3 cm long, scales brown and hairy, styles red, ovary conical and densely hairy; male catkins 1 - 2 cm long, hairless, stamens 2, anthers red; insect- and wind-pollinated.",Fruit,"a capsule; in elongated clusters; short-stalked, greenish to light brown, 5 - 8 mm long, flask-shaped, hairy; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,,,,,,,"<i>Salix candida</i> is distinguished from most other willows in the Chicago Region by having hairy leaf undersides and down-curved (revolute) leaf margins that are not distinctly toothed. It differs from <i>S. caprea</i> and <i>S. cinerea</i> (which are rare escapes, and not found in bogs) by mostly growing less than 2 meters tall. Its leaves are also relatively narrower.",SACA22,SACI,,,,,,,,,"Late April to late May, with the leaves.","In the Chicago Region, <i>Salix candida</i> is local in bogs. It is also found in prairie marshes and fens.",native,"Occasional specimens have been observed which seem to be intermediate between <i>Salix candida</i> and <i>S. humilis</i>. Generally, the leaf margins of such specimens are scarcely down-curved, and lower leaf surfaces are uniformly covered with grayish white hairs rather than having concentrated patches. A very ornamental shrub.",,,,,,,<i>Salix</i> is the Latin word for willow. <i>Candida</i> means shining or pure white.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,,has other records,,has other records,has other records,,has other records,has other records,,has other records,has other records,has other records,,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
SACA22,PLANT,DUMMYDATA,"Shrub or small tree, 4.5 - 9 m tall. Crown open and wide, with upright, erect branching.",Bark,"dark brown or gray, fissured.",Twigs,"thick, stout, yellowish brown to reddish brown, gray-hairy, becoming smooth.",Buds,"purplish brown, 6.5 mm - 1.25 cm long, egg-shaped, pointed, hairy, becoming smooth.",Leaves,"alternate, with 1 - 3 cm long leafstalks; dark green above, gray-hairy beneath, 5 - 12 cm long, 2.5 - 7.5 cm wide, broadly elliptical to egg-shaped, base tapering to rounded, tip short-pointed, margins irregularly down-curved (revolute), margins slightly wavy and irregularly toothed, teeth glandular, slightly wrinkled above, net-veined beneath, hairy beneath.",Flowers,"either male or female, borne on separate trees (dioecious); in nearly stalkless, hairy catkins; female catkins greenish, scales black, to 6 cm long, cylindrical, ovary hairy; male catkins fuzzy, soft, white or silvery, scales black, 2.5 - 3.5 cm long, egg-shaped to cylindrical, stamens 2, anthers golden, filaments long and hairless; insect- and wind-pollinated.",Fruit,,,"a capsule; in elongated clusters; light brown, to 10 cm long, flask-shaped, slightly hairy; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,"<i>Salix caprea</i> is distinguished from most other willows in the Chicago Region by having hairy leaf undersides and down-curved (revolute) leaf margins that are not distinctly toothed. <i>Salix cinerea</i>, which is very similar, has densely hairy twigs (twigs less than 2 years old) and narrower leaves. Also, the wood under the peeled bark of <i>S. caprea</i> is smooth; the wood of <i>S. cinerea</i> is grooved.",SACI,,,,,,,,,,Early spring.,"The only record for <i>Salix caprea</i> in the Chicago Region is from Lake County, Illinois; it was evidently an escape from cultivation. Outside the region it is usually found in woods and hedgerows, not being restricted to wet sites.",non-native,Introduced from Europe and frequently planted. Florists sell branches of male catkins from both <i>Salix caprea</i> and <i>S. cinerea</i> during Easter as the common Pussy Willow.,,,,,,,<i>Salix</i> is the Latin word for willow. <i>Caprea</i> pertains to goats (goats eat it).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,,,,,,
SACI,PLANT,DUMMYDATA,"Shrub, sometimes tree-like, 3 - 6 m tall. Crown rounded or flattened, branching from the base.",Bark,"dark grayish brown, becoming fissured with age.",Twigs,"stout, gray to reddish brown, prominently grooved (seen when bark is removed), densely hairy for the first two years, becoming smooth.",Buds,"brown, egg-shaped, pointed, hairy, becoming smooth.",Leaves,"alternate, with 1 cm long or shorter leafstalks; dull green above, gray or bluish gray beneath, 5 - 9 cm long, elliptic or egg-shaped to lanceolate, base tapering to rounded, tip pointed, margins irregularly down-curved (revolute), margins round-toothed to slightly saw-toothed, densely hairy beneath.",Flowers,"either male or female, borne on separate trees (dioecious); in nearly stalkless, hairy catkins, 4 - 7 bracts at base; female catkins greenish, scales dark brown, 2 - 3 cm long, cylindrical, ovary hairy; male catkins fuzzy, soft, white or silvery, scales dark brown, 2 - 5 cm long, egg-shaped to cylindrical, stamens 2, anthers yellow, filaments 5 - 8 mm long and hairless (except at base); insect- and wind-pollinated.",Fruit,,,"a capsule; in elongated clusters; light brown, to 8 cm long, flask-shaped, slightly hairy; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,"<i>Salix cinerea</i> is distinguished from most other willows in the Chicago Region by having hairy leaf undersides and down-curved (revolute) leaf margins that are not distinctly toothed. <i>Salix caprea</i>, which is very similar, has smooth twigs (except twigs within their first year) and wider leaves. Also, the wood under the peeled bark of <i>S. cinerea</i> is grooved; the wood of <i>S. caprea</i> is smooth.",SACA22,,,,,,,,,,"Early spring, before the leaves.","Characteristic of moist sites. The first specimen collected locally was in DuPage County, Illinois, in low ground near a small creek. The Porter County, Indiana collection was made along the bike trail east of Mineral Springs Road. The Racine County, Wisconsin collection was made at Delmonte Lake, along a dirt road north of Honey Creek.",non-native,Introduced from Europe and frequently planted. Florists sell branches of male catkins from both <i>Salix cinerea</i> and <i>S. caprea</i> during Easter as the common Pussy Willow.,,,,,,,<i>Salix</i> is the Latin word for willow. <i>Cinerea</i> is the Latin word meaning ash-colored.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,,,has other records,,,,,has other records,,,
SACO3,PLANT,DUMMYDATA,"Shrub, 2 - 4 m tall. Loosely branched.",Twigs,"thick, gray to reddish brown, densely silky-hairy.",Buds,"brown to reddish brown, egg-shaped, round-tipped to pointed, often flattened against the stem.",Leaves,"alternate, with 3 - 6 mm long leafstalks; leafstalks flattened at base; green on both sides, 3 - 10 cm long, broadly egg-shaped to egg-shaped lanceolate, base rounded to heart-shaped, tip short-pointed, margins toothed, teeth glandular, densely silky-hairy on both sides.",Flowers,"either male or female, borne on separate trees (dioecious); in hairy, cylindrical catkins on short, leafy stalks; female catkins greenish, scales light brown, 3 - 10 cm long, ovary hairless; male catkins about 2 cm long, scales light brown, anthers yellow; insect- and wind-pollinated.",Fruit,"a capsule; in elongated clusters; brown, 4 - 10 cm long, flask-shaped; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,,,,,"<i>Salix cordata</i> is distinguished from all other shrub willows in the Chicago Region by having finely toothed leaves that are densely silky-hairy and green on both sides. Leaf margins are flat, not revolute (down-curved).",,,,,,,,,,,"Late April to early May, before or with the leaves.","Rare. In the Chicago Region, <i>Salix cordata</i> is found in the low dunes facing Lake Michigan. It also occurs on the higher foredunes.",native,The overall whitish appearance of <i>Salix cordata</i> contrasts observably with any darker leaved willows in its vicinity. Only female shrubs are used in cultivation.,,,,,,,"<i>Salix</i> is the Latin word for willow. <i>Cordata</i> means heart-shaped, which refers to the heart-shaped leaf bases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,has other records,,,,has other records,has other records,,has other records,,,,,,,,has other records
SADI,PLANT,DUMMYDATA,"Shrub or small tree, to 8 m tall, trunk diameter to 30 cm. Crown open, rounded.",Bark,"light brown to gray, tinged with red, thin, shallowly fissured, scaly.",Twigs,"stout, upright, brown to dark reddish purple, at first downy, becoming smooth.",Buds,"dark reddish purple, 7 - 9 mm long, egg-shaped, flattened, long-pointed, shiny.",Leaves,"alternate, with 1 - 2.5 cm long leafstalks; bright green above, silvery or white-waxy and bluish green beneath, 5 - 12 cm long, 1.5 - 3.5 cm wide, lanceolate to narrowly elliptic, base rounded to tapering, tip pointed, margins irregularly wavy-toothed, thick, firm, hairy when young.",Flowers,"either male or female, borne on separate trees (dioecious); in hairy, cylindrical catkins; female catkins loosely flowered, greenish, 1.5 - 3 cm long, scales dark brown, ovary hairy; male catkins fuzzy, soft, white or silvery, 2 - 4 cm long, stamens 2, scales dark brown, anthers yellow; insect- and wind-pollinated.",Fruit,,,"a capsule; in 6 - 8 cm long clusters; light brown, 8 - 12 mm long, flask-shaped, finely hairy; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,"<i>Salix discolor</i> is distinguished from most other willows in the Chicago Region by having leaf margins that are not distinctly toothed or down-curved (revolute). <i>Salix bebbiana</i> is similar but has gray-hairy leaves. <i>Salix x conifera</i>, the hybrid between <i>S. discolor</i> and <i>S. humilis</i>, has relatively smaller catkins and fruit than <i>S. discolor</i>, with twigs that remain hairy into maturity and leaves that sometimes have rusty hairs underneath.",SABE2,SACO10,,,,,,,,,"Early April to early May, before the leaves.","In the Chicago Region, <i>Salix discolor</i> is common in the marshy and swampy ground of shrub-dominated communities, bottomland woods, and moist prairies. Occurs along lakes, streams, roads, and railroads. May also be found in ditches, fens, bogs, and sandy areas.",native,Planted as an ornamental. Florists use leafless branches of immature male catkins in floral arrangements.,,,,,,,"<i>Salix</i> is the Latin word for willow. <i>Discolor</i> means “of two different and usually distinct colors,” which refers to the leaves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
SAER,PLANT,DUMMYDATA,"Small to medium-sized tree, 12 - 15 m tall. Crown narrow.",Bark,"gray to black, thin, scaly.",Twigs,"reddish brown, densely downy, becoming smooth.",Buds,"reddish brown, to 2.5 cm long, egg-shaped, pointed, hairy.",Leaves,"alternate, stipules prominent and kidney-shaped, dull green above, paler beneath, 6 - 15 cm long, 2.5 - 3.7 cm wide, lanceolate, base tapering, tip pointed, margins finely toothed, thick, firm, hairy at first, becoming smooth.",Flowers,"either male or female, borne on separate trees (dioecious); in woolly, cylindrical catkins on short, leafy stalks; female catkins greenish, slightly longer than males; male catkins 2 - 5 cm long, scales dark brown, stamens 2, anthers yellow; insect- and wind-pollinated.",Fruit,,,"a capsule; in elongated clusters; stalked, brown, 7 - 9 mm long, flask-shaped; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,"<i>Salix eriocephala</i> is distinguished from most other willows in the Chicago Region by having finely toothed leaves that are green and hairless on both sides. Leaf margins are flat, not revolute (down-curved). <i>Salix lucida</i> is much smaller and has shiny leaves; <i>S. nigra</i> has narrower leaves; <i>S. pentandra</i> is a smaller tree with elliptical to egg-shaped leaves.",SALU,SANI,SAPE4,,,,,,,,"Early April to mid-May, before the leaves.","Frequent in a wide range of moist to wet habitats. It is common in calcareous sites. Other habitats include second-growth woods, river banks, ditches, and along railroads.",native,"The taxonomy of <i>Salix eriocephala</i> is very complicated. For further discussion consult Argus (1980). Its wood has been used for fence posts, and it is planted as an ornamental.",,,,,,,<i>Salix</i> is the Latin word for willow. <i>Eriocephala</i> means woolly-headed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
SAFR,PLANT,DUMMYDATA,"Medium-sized to large tree, 15 - 30 m tall, trunk diameter 0.8 - 2 m. Crown broadly conical, open; branches stiffly ascending.",Bark,"dark gray, dull, thick, smooth on young trees, becoming rough and deeply furrowed with narrow, scaly ridges.",Twigs,"slender, shiny yellowish green becoming dark red to greenish brown, lustrous, smooth, epidermis flaky. Twigs snapping easily and cleanly at base.",Buds,"bright reddish brown, 3 - 7 mm long or longer, long-conical, pointed, smooth, appressed to the stem; terminal bud absent.",Leaves,"alternate, with stout, 1 - 2 cm long, sometimes glandular leafstalks (2 glands at base of leaf); glossy green above, grayish green or waxy-looking beneath, 8 - 16 cm long, 1.5 - 3.5 cm wide, mostly less than 7 times as long as wide, lanceolate to linear-lanceolate, base tapering, tip long-pointed, margins irregularly saw-toothed, teeth gland-tipped, thin, firm, smooth.",Flowers,"either male or female, borne on separate trees (dioecious); in hairy, 2 - 6 or more cm long, cylindrical catkins on short, leafy stalks; female catkins loosely flowered, scales pale yellow, ovary narrowly conical; male catkins densely flowered, scales pale yellow, stamens 2 (sometimes 3), anthers golden-yellow; insect- and wind-pollinated.",Fruit,,,"a capsule; in elongated clusters to 12 cm long; short-stalked, brown, 4 - 6 mm long, flask-shaped; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,"<i>Salix fragilis</i> is distinguished from most other willows in the Chicago Region by having irregularly saw-toothed, hairless leaves that are grayish green-waxy beneath. Leaf margins are flat, not revolute (down-curved), and the twigs snap easily and cleanly at the base. <i>Salix amygdaloides</i> typically has broader leaves; <i>S. petiolaris</i> is much smaller and has shorter, narrower leaves.",SAAM2,SAPE5,,,,,,,,,"Late April, with the leaves.","In the Chicago Region, <i>Salix fragilis</i> escapes cultivation and occurs in degraded areas and abandoned habitations. It has also been found in wooded ravines, along rivers, along railroads, in ditches, and in sandy areas near Lake Michigan.",non-native,"Introduced from Eurasia. The wood is used for crates, boxes, polo balls, artificial limbs, pulp, veneer, and furniture. It was used in colonial times for charcoal. Locally, most of the trees named Crack Willow are probably hybrids between it and <i>Salix alba</i>, called <i>S. x rubens</i>.",,,,,,,"<i>Salix</i> is the Latin word for willow. <i>Fragilis</i> means brittle, which is in reference to the twigs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,,,has other records,has other records,has other records,has other records,,,,has other records,,has other records,,has other records,,,has other records,,,has other records
SAHUH,PLANT,DUMMYDATA,"Medium-sized shrub, to 3 m tall. Branches ascending and arching.",Twigs,"yellowish green, hairy.",Buds,"reddish brownish to brown, egg-shaped, flattened, pointed, slightly hairy.",Leaves,"alternate, with yellowish to pinkish, 3 - 7 mm long, hairy leafstalks; dark green above, grayish green-waxy beneath, midrib yellowish to pinkish, 5 - 12 cm long, 1 - 3 cm wide, lanceolate to oblong-lanceolate, base rounded or heart-shaped, tip short-pointed, margins slightly wavy and irregularly toothed, margins slightly down-curved (revolute), smooth to minutely hairy above, hairy and wrinkled beneath, becoming hairless; young leaves brownish red, thin, translucent, minutely hairy.",Flowers,"either male or female, borne on separate trees (dioecious); in stalkless, cylindrical, hairy catkins; female catkins green to purplish, 1.5 - 4 cm long, scales blackish, stigmas red, ovary densely hairy; male catkins whitish, 1 - 2 cm long, scales blackish, stamens 2, anthers red turning yellow; insect- and wind-pollinated.",Fruit,"a capsule; in elongated clusters; short-stalked, brownish, 6 - 10 mm long, flask-shaped, hairy; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,,,,,"<i>Salix humilis</i> var. <i>humilis</i> is distinguished from most other willows in the Chicago Region by having hairless leaves and down-curved (revolute) leaf margins that are not distinctly toothed. <i>Salix humilis</i> var. <i>tristis</i> is similar to <i>S. humilis</i> var. <i>humilis</i> but on a smaller scale, with leaves that remain hairy, especially beneath. <i>Salix pedicellaris</i>, a small shrub that grows in bogs and fens, has leaves similar to both <i>S. humilis</i> varieties; however, the leaves of <i>S. pedicellaris</i> are finely net-veined on both sides and have parallel primary lateral veins.",SAHUT,SAPE2,,,,,,,,,"Early April to early May, before the leaves.","Frequent in moist to wet prairies. Also found in open woodlands and sandy areas, especially where there has been a history of fire.",native,Planted as an ornamental.,,,,,,,<i>Salix</i> is the Latin word for willow. <i>Humilis</i> means low-growing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHUT,PLANT,DUMMYDATA,"Shrub, 0.5 - 1 m tall. Branches ascending and arching.",Twigs,"slender, brown-tinged, hairy.",Buds,"reddish brownish to brown, egg-shaped, flattened, pointed, slightly hairy.",Leaves,"alternate, with yellowish to pinkish, 2 - 3 mm long, hairy leafstalks; dark green above, paler and waxy beneath, midrib yellowish to pinkish, 2 - 5 cm long, 0.5 - 1 cm wide, narrowly inversely-lanceolate to linear-oblong, base tapering, tip pointed, margins non-toothed, margins slightly down-curved (revolute), smooth to hairy above, gray-woolly beneath; young leaves brownish red, thin, translucent, minutely hairy.",Flowers,"either male or female, borne on separate trees (dioecious); in stalkless, oval to egg-shaped, hairy catkins; female catkins green to purplish, 1 - 2 cm long, scales blackish, stigmas red, ovary densely hairy; male catkins whitish, 0.5 - 1.2 cm long, scales blackish, stamens 2, anthers red turning yellow; insect- and wind-pollinated.",Fruit,"a capsule; in elongated clusters; short-stalked, brownish, flask-shaped, hairy; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,,,,,"<i>Salix humilis</i> var. <i>tristis</i> is distinguished from most other willows in the Chicago Region by having hairy leaf undersides and down-curved (revolute) leaf margins that are not distinctly toothed. <i>Salix humilis</i> var. <i>humilis</i> is similar to <i>S. humilis</i> var. <i>tristis</i> but on a larger scale, with leaves that do not remain hairy. <i>Salix pedicellaris</i>, a small shrub that grows in bogs and fens, has leaves similar to both <i>S. humilis</i> varieties; however, the leaves of <i>S. pedicellaris</i> are finely net-veined on both sides and have parallel primary lateral veins.",SAHUH,SAPE2,,,,,,,,,"Early April to early May, before the leaves.","Occasionally found in the Chicago Region, in prairies and other dry open places.",native,Planted as an ornamental.,,,,,,,<i>Salix</i> is the Latin word for willow. <i>Humilis</i> means low-growing. <i>Tristis</i> means dull.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHU2,PLANT,DUMMYDATA,"Shrub, 0.5 - 3 m tall. Branches ascending and arching.",Twigs,"slender, yellowish green, brown-tinged, hairy.",Buds,"reddish brownish to brown, egg-shaped, flattened, pointed, slightly hairy.",Leaves,"alternate, with yellowish to pinkish, 2 - 7 mm long, hairy leafstalks; dark green above, paler and grayish green-waxy beneath, midrib yellowish to pinkish, 2 - 12 cm long, 0.5 - 3 cm wide, narrowly inversely-lanceolate to lanceolate to linear-oblong; base tapering, rounded, or heart-shaped; tip pointed, margins slightly wavy and irregularly toothed or non-toothed, margins slightly down-curved (revolute), smooth or hairy above, hairy and wrinkled beneath, sometimes becoming hairless; young leaves brownish red, thin, translucent, minutely hairy.",Flowers,"either male or female, borne on separate trees (dioecious); in stalkless, oval to cylindrical, hairy catkins; female catkins green to purplish, 1 - 4 cm long, scales blackish, stigmas red, ovary densely hairy; male catkins whitish, 0.5 - 2 cm long, scales blackish, stamens 2, anthers red turning yellow; insect- and wind-pollinated.",Fruit,"a capsule; in elongated clusters; short-stalked, brownish, 6 - 10 mm long, flask-shaped, hairy; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,,,,,"<i>Salix humilis</i> is represented by two varieties in the Chicago Region. See links below for further information. <i>Salix pedicellaris</i>, a smaller shrub that grows in bogs and fens, has leaves similar to <i>S. humilis</i>; however, the leaves of <i>S. pedicellaris</i> are finely net-veined on both sides and have parallel primary lateral veins.",SAHUH,SAHUT,SAPE2,,,,,,,,"Early April to early May, before the leaves.","Frequent in moist to wet prairies. Also found in open woodlands and sandy areas, especially where there has been a history of fire. Occasionally found in prairies and other dry open places.",native,Planted as an ornamental. Specimens mapped and linked at right are those that were not designated a variety name.,,,,,,,<i>Salix</i> is the Latin word for willow. <i>Humilis</i> means low-growing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,,has other records,,has other records
SAIN3,PLANT,DUMMYDATA,"Small tree, 5 - 7.5 m tall, trunk diameter less than 30 cm. Crown irregular.",Bark,"thin and smooth on young trees, becoming gray, furrowed, and broken into rough scales.",Twigs,"slender, grayish green, smooth. Leaf scars U-shaped, with 3 bundle scars each.",Buds,"pale brown, to 4 mm long, cylindrical.",Leaves,"alternate, nearly stalkless, green, 5 - 15 cm long, 3 mm - 1.25 cm wide (many times longer than wide), narrowly lanceolate, base tapering, tip pointed, margins toothed, teeth glandular and widely spaced, smooth or softly hairy beneath.",Flowers,"either male or female, borne on separate trees (dioecious); in slightly hairy, cylindrical catkins on short, leafy stalks; female catkins greenish, 4 - 8 cm long, scales pale yellow, ovary hairy; male catkins 2 - 4 cm long, stamens 2, anthers yellow; insect- and wind-pollinated.",Fruit,,,"a capsule; in elongated clusters; stalked, light brown, 7 - 9 mm long, flask-shaped, slightly hairy; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,"<i>Salix interior</i> is distinguished from all other willows in the Chicago Region by having narrowly lanceolate leaves with widely spaced, glandular teeth.",,,,,,,,,,,"Late April to late July, with the leaves.","By far the most common willow of the Chicago Region. Found in low ground, where it forms huge vegetative colonies. Also grows on the sandy beaches of Lake Michigan, along streams and pond borders, and in other moist areas.",native,"<i>Salix interior</i> should not be planted in the vicinity of smaller shrubs, due to its vigorous suckering habit. Native Americans made baskets from the twigs and bark. The wood is used for fuel.",,,,,,,<i>Salix</i> is the Latin word for willow. <i>Interior</i> means inner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
SALU,PLANT,DUMMYDATA,"Shrub or small tree, to 8 m tall, trunk diameter 15 - 20 cm. Trunks short. Crown broad and rounded with ascending branches.",Twigs,"dark orange to chestnut brown, shiny, smooth, becoming darker with age.",Buds,"chestnut brown, blunt, shiny.",Leaves,"alternate, with 5 - 10 mm long, glandular leafstalks; dark yellowish green above, paler beneath, 5 - 13 cm long, 1.2 - 3.7 cm wide, egg-shaped lanceolate to lanceolate, broadest just below the middle, base rounded to tapering, tip long-pointed, margins finely toothed, teeth glandular, shiny on both sides, smooth.",Flowers,"either male or female, borne on separate trees (dioecious); in slightly hairy, cylindrical catkins on short, leafy stalks; female catkins greenish, 6 - 8 cm long, scales yellow; male catkins 3 - 5 cm long, scales yellow, stamens 3 - 6, filaments hairy to the middle, anthers yellow; insect- and wind-pollinated.",Fruit,"a capsule; in elongated clusters; stalked, brown, 5 - 7 mm long, flask-shaped, smooth; seeds with long, white, silky hairs attached; dispersed by wind and water.",,,,,,,,,,,"<i>Salix lucida</i> is distinguished from most other willows in the Chicago Region by having finely toothed leaves that are shiny green and hairless on both sides. Leaf margins are flat, not revolute (down-curved). <i>Salix serissima</i>, which is similar, has white-waxy, less shiny lower leaf surfaces than <i>S. lucida</i>. Another similar species, <i>S. pentandra</i>, has elliptical to egg-shaped leaves that are typically wider than <i>S. lucida</i>.",SASE2,SAPE4,,,,,,,,,"Early spring, with the leaves.","Local in boggy sites, and locally common in the great marsh area of the dune region. Also found in recently disturbed, moist sandy areas.",native,<i>Salix lucida</i> is often planted as an ornamental. It is also planted to prevent stream bank erosion. The wood is of no commercial value.,,,,,,,<i>Salix</i> is the Latin word for willow. <i>Lucida</i> means bright; clear; shining.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,has other records,,,has other records,,has other records,has other records,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,,has other records,,,has other records
