nameCd,group,growthForm,size,part_Name1,part_Text1,part_Name2,part_Text2,part_Name3,part_Text3,part_Name4,part_Text4,part_Name5,part_Text5,part_Name6,part_Text6,part_Name7,part_Text7,part_Name8,part_Text8,part_Name9,part_Text9,part_Name10,part_Text10,simSp_comments,simSp_nameCd1,simSp_nameCd2,simSp_nameCd3,simSp_nameCd4,simSp_nameCd5,simSp_nameCd6,simSp_linkUri1,simSp_linkText1,simSp_linkUri2,simSp_linkText2,flowering,habitatEcology,nativity,notes_comments,notes_linkUri1,notes_linkText1,notes_linkUri2,notes_linkText2,notes_linkUri3,notes_linkText3,etymology_comments,etymology_linkUri1,etymology_linkText1,etymology_linkUri2,etymology_linkText2,etymology_linkUri3,etymology_linkText3,furtherInfo_comments,furtherInfo_linkUri1,furtherInfo_linkText1,furtherInfo_linkUri2,furtherInfo_linkText2,furtherInfo_linkUri3,furtherInfo_linkText3,furtherInfo_linkUri4,furtherInfo_linkText4,furtherInfo_linkUri5,furtherInfo_linkText5,furtherInfo_linkUri6,furtherInfo_linkText6,furtherInfo_linkUri7,furtherInfo_linkText7,furtherInfo_linkUri8,furtherInfo_linkText8,furtherInfo_linkUri9,furtherInfo_linkText9,furtherInfo_linkUri10,furtherInfo_linkText10,references_citation1,references_citation2,references_citation3,references_citation4,references_citation5,references_citation6,references_citation7,references_citation8,references_citation9,references_citation10,references_linkUri1,references_linkText1,references_linkUri2,references_linkText2,references_linkUri3,references_linkText3,references_linkUri4,references_linkText4,references_linkUri5,references_linkText5,references_linkUri6,references_linkText6,references_linkUri7,references_linkText7,references_linkUri8,references_linkText8,references_linkUri9,references_linkText9,references_linkUri10,references_linkText10,ilBn,ilCk,ilDk,ilDp,ilGd,ilKd,ilKk,ilKn,ilLk,ilMh,ilWl,inJs,inLk,inLp,inNt,inPt,inSj,inSk,miBr,wiKs,wiMw,wiRc,wiWk,wiWw
LEGR2,PLANT,Annual or biennial herb,to 0.7 m tall,Leaves,"alternate, reverse lance-shaped (with the narrow end toward the stem) to linear, bases tapering.",Flowers,"in branched clusters (raceme). Petals four, yellow, 4 - 11 mm long, 3 - 7 mm wide. Stamens six.",Fruit,"a short pod, 3 - 6 mm long, spherical or elliptical, smooth.",,,,,,,,,,,,,,,,,,,,,,,,,,May to August,"In the Chicago Region known only from Cook County, Illinois, where it was found in 1894 growing along a railroad. It is believed that only two plants were found.",non-native,Introduced from the southwestern states.,,,,,,,"<i>Lesquerella</i> is named after Leo Lesquereaux (1805-1889), who was a leading authority on American fossil botany. <i>Gracilis</i> means graceful or slender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,,,,,,,,,,,,,
LOMA,PLANT,Annual to perennial herb,10 - 30 cm tall,Stem,"many branched, with appressed, two-pronged hairs.",Leaves,"alternate, 2 - 5 cm long, linear, tips pointed, margins non-toothed.",Flowers,"in long, branched clusters (raceme). Petals four, white or lavender, 4 mm wide, bases narrowed, tips rounded. Flowers fragrant.",Fruit,"a small pod, 3 mm long, 2 mm wide, elliptic, flattened, wingless, very sparsely hairy.",,,,,,,,,,,,,,,,,,,,,,,,Late July to mid-October,"This plant occasionally escapes from cultivation, becoming a weed of waste ground, turf, dump heaps, and other disturbed areas.",non-native,Introduced from Europe.,,,,,,,<i>Lobularia</i> means “small pod.” <i>Maritima</i> means “of or from the sea.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,has other records,,,,,,has other records,,,has other records,,,,,,,,,,,
LUAN,PLANT,Annual herb,to 1 m tall,Stem,stiffly hairy.,Leaves,"alternate, short-stalked or stalkless, heart-shaped or triangular- heart-shaped, margins sharp-toothed.",Flowers,"in branched clusters. Petals four, purple, to 2 cm wide, bases narrowed, tips broadly rounded.",Fruit,"a pod, 3.5 - 5 cm long, two-thirds as wide, broadly elliptic, rounded at both ends, flattened, papery.",,,,,,,,,,,,,,,,,,,,,,,,Late April to early June,"This garden escape has spread to become rather frequent in the eastern sector of the Chicago Region. There are now large quantities between North and Middle lakes near Stevensville in Berrien County, Michigan. Look for this weed in a variety of disturbed areas.",non-native,Introduced from Europe.,,,,,,,"<i>Lunaria</i> derives from the word luna, which refers to the moon-shaped fruit. <i>Annua</i> means annual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,has other records,,,,,,,,,,has other records,,has other records,,,,,,,,has other records
MAAF,PLANT,Herb,,Stem,"hairy, lacking glands.",Leaves,"alternate, margins shallowly wavy-toothed, coarsely hairy on both sides (hairs star-shaped), lacking glands.",Flowers,,Fruit,"a pod, without cross-partitions between the seeds, scarcely beaked.",,,,,,,,,,,,,,,,,,,,,,,,Mid-May,"Our only record for this species is from along a railroad in Grundy County, Illinois, made in 1989. There eight plants were found growing in railroad ballast, at a point where vegetation ended and rock began.",non-native,Native to Africa.,,,,,,,"<i>Malcolmia</i> is named after William Malcolm, a London nurseryman. <i>Africana</i> means “of or from Africa.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,,,,,,,,,,
MAIN4,PLANT,Annual herb,,Stem,,Leaves,,Flowers,various colors.,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,Late September,"A rare escape from cultivation. In the Chicago Region known only from Kendall and Grundy counties, both in Illinois. The Kendall County specimen was found on a rubbish pile.",non-native,Introduced from Europe.,,,,,,,"<i>Matthiola</i> is named after Pierandrea Mattioli, a 16th century Italian botanist and physician. <i>Incana</i> means “hairy; gray or silver colored.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,has other records,,,,,,,,,,,,,,,,
VP-136,PLANT,Perennial aquatic herb with a taproot and fibrous roots,to about 30 cm above water line,Roots,often growing from lower nodes.,Stem,"hollow, cylindrical, erect to ascending or creeping, smooth.",Leaves,"alternate, pinnately divided with three to nine leaflets, stalked (stalk partially clasping stem), to 15 cm long. Leaflets opposite to subopposite, stalkless, to 2 cm long, to 1 cm wide, egg- lance-shaped, bases oblique (with unequal sides), tips often notched, margins non-toothed to shallowly toothed, smooth. Terminal leaflet longest.",Flowers,"in dense, branched clusters (raceme), which are borne terminally at the ends of shoots. Flower stalks 2 - 7 mm long, hairless. Sepals four, free (unattached), 3 mm long, 1.2 mm wide. Petals four, free (not attached), white, twice as long as sepals, bases narrowed. Stamens six. Anthers yellow.",Fruit,"a long, narrow pod (silicle), widely spreading, 1 - 2.5 cm long, cylindrical, rounded in cross section, with a short beak. Seeds many, in two rows, coarse.",,,,,,,,,,,,,,,,,,,,,,Late April to mid-September,"Locally abundant in ditches and creeks. It also occurs in calcareous springs. May form large, tangled masses.",non-native,Introduced from Eurasia.,,,,,,,"<i>Nasturtium</i> comes from the Latin <i>nasus tortus</i>, meaning “twisted nose,” due to the plant’s pungent qualities. <i>Officinale</i> means “sold in shops; official.” This may apply to medicinal, edible, and otherwise useful plants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
NEPA3,PLANT,Annual herb with a slender taproot,to 0.8 m tall,Stem,"slender, erect, much-branched, hairy (with branched or two-pronged hairs).",Basal leaves,"stalked, roughly hairy.",Stem leaves,"alternate, clasping, stalkless, 3 - 6 cm long, oblong- lance-shaped, bases lobed, tips pointed, margins non-toothed or nearly so, hairy.",Flowers,"in branched clusters (raceme). Petals four, yellow, about 1.5 mm wide, spatula-shaped, bases narrowed.",Fruit,"an indehiscent pod, 2 mm long, 2.5 mm wide, nearly spherical, slightly flattened, firm, thick-walled, net-veined and pitted.",,,,,,,,,,,,,,,,,,,,,,May to September,"In the Chicago Region known only from Lake County, Indiana, where it used to be abundant along a railroad. It no longer grows at that locality.",non-native,Introduced from Europe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,,
RARA2,PLANT,Annual herb with a thick taproot,30 cm - 0.8 m tall,Stem,sparsely hairy.,Lower leaves,"10 - 20 cm long, oblong, sparsely hairy, pinnately divided into five to fifteen oblong segments. The lower segments are very small, while the upper ones get progressively larger.",Upper leaves,"alternate, often reduced, margins non-toothed.",Flowers,"in branched clusters (raceme). Sepals four, erect, tips rounded. Petals four, yellow, becoming white, 1 - 1.5 cm long, bases narrowed.",Fruit,"a long, narrow pod, 2 - 4 cm long, separated into two distinct parts. The upper part (beak) is 1 - 3 cm long. When fresh, the fruit is nearly cylindrical. When dry it is prominently ribbed and constricted between the seeds. Seeds in one row.",,,,,,,,,,,<i>Raphanus sativus</i> is similar but has pink flowers and a thicker taproot.,RASA2,,,,,,,,,,Mid-May to early September,"Local in waste ground, especially in areas with nutrient-rich soil.",non-native,Introduced from Eurasia.,,,,,,,"<i>Raphanus</i> means “quickly appears.” <i>Raphanistrum</i> comes from the Greek word <i>raphanis</i> (quickly appears), which is the ancient name for this vegetable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,has other records,has other records,,,,,,has other records,,,,,,has other records,,,,,has other records,has other records,,has other records
RASA2,PLANT,Annual herb with a thick taproot,30 cm - 0.8 m tall,Lower leaves,"pinnately divided, oblong.",Upper leaves,alternate.,Flowers,"in branched clusters (raceme). Sepals four, erect, tips rounded. Petals four, pinkish purple to white, 1 - 1.5 cm long, bases narrowed.",Fruit,"a long, narrow pod, cylindrical, spongy, separated into two distinct parts (the lower part often missing). When dry it is prominently ribbed and not constricted between the seeds.",,,,,,,,,,,,,<i>Raphanus raphanistrum</i> is similar but has yellow flowers and a less thick taproot.,RARA2,,,,,,,,,,Late June to mid-October,A commonly cultivated garden vegetable that occasionally escapes into waste areas and disturbed places.,non-native,Introduced from Europe.,,,,,,,<i>Raphanus</i> means “quickly appears.” <i>Sativus</i> means cultivated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,,has other records,,,,has other records,has other records,,,,,,has other records,,,,,,has other records
VP-62,PLANT,Annual herb,20 cm - 1 m tall,Stem,roughly hairy below.,Leaves,"mostly basal, pinnately divided to coarsely toothed, reverse lance-shaped (with the narrow end toward the stem) to reverse egg-shaped (with the narrow end toward the stem). Stem leaves few, smaller than basal leaves, and toothed.",Flowers,"in branched clusters (raceme). Sepals four, ascending, tips hood-shaped. Petals four, yellow, 6 - 10 mm long, bases narrowed, tips rounded.",Fruit,"a short pod, cylindrical, leathery, divided into two members. The lower member is dehiscent, 2 - 3 mm long, cylindrical to reverse egg-shaped (with the narrow end toward the attachment), and contains one to three suspended seeds. The upper member is indehiscent, 3 - 4 mm long, nearly round, wrinkled, hairless, and contains one erect seed. The beak is 1 - 4 mm long.",,,,,,,,,,,,,"Typical <i>Rapistrum rugosum</i> has hairs on the larger section of its fruit, which this variety lacks.",RARU,,,,,,,,,,Early May to late July,A weed of cultivated ground and waste places.,non-native,Introduced from Europe.,,,,,,,<i>Rugosum</i> means wrinkled. <i>Venosum</i> means “with veins.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,has other records,,,,,,,,,,
RARU,PLANT,Annual herb,20 cm - 1 m tall,Stem,roughly hairy below.,Leaves,"mostly basal, pinnately divided to coarsely toothed, reverse lance-shaped (with the narrow end toward the stem) to reverse egg-shaped (with the narrow end toward the stem). Stem leaves few, smaller than basal leaves, and toothed.",Flowers,"in branched clusters (raceme). Sepals four, ascending, tips hood-shaped. Petals four, yellow, 6 - 10 mm long, bases narrowed, tips rounded.",Fruit,"a short pod, cylindrical, leathery, divided into two members. The lower member is dehiscent, 2 - 3 mm long, cylindrical to reverse egg-shaped (with the narrow end toward the attachment), and contains one to three suspended seeds. The upper member is indehiscent, 3 - 4 mm long, nearly round, wrinkled, hairy, and contains one erect seed. The beak is 1 - 4 mm long.",,,,,,,,,,,,,"<i>Rapistrum rugosum</i> var. <i>venosum</i> is very similar, but does not have hairs on the larger section of its fruit.",VP-62,,,,,,,,,,Early May to late July,A weed of cultivated ground and waste places.,non-native,Introduced from Europe.,,,,,,,<i>Rugosum</i> means wrinkled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,has other records,,,,,,,,has other records,,,,,,,,,,
